代碼,食物分類大項,食物分類子項,食材名稱,生食/熟食,烹飪方式,保存方式,產地,當季/非當季,農業,加工,包裝,運輸,超市及配送,能源消耗,全部
13731,水果類,水果類,桃子罐頭,熟食,,,,,0.12,0.23,0.17,0.14,0.02,-,0.68
13014_1,水果類,水果類,草莓,生食,,,,,0.23,-,-,0.25,0.01,0.01,0.5
13014_3,水果類,水果類,草莓,生食,,,,非當季,0.27,-,-,0.27,0.01,0.01,0.55
13014_2,水果類,水果類,草莓,生食,,,,當季,0.22,-,-,0.24,0.01,0.01,0.48
3,水果類,水果類,草莓醬,熟食,,,,,0.42,1.05,0.5,0.4,0.01,-,2.38
13023,水果類,水果類,荔枝,生食,,,,,0.16,-,-,0.27,0.02,0.08,0.53
13037,水果類,水果類,梨子,生食,,,,,0.08,-,-,0.25,0.01,0.03,0.36
13026,水果類,水果類,哈密瓜,生食,,,,,0.32,-,-,0.38,0.02,0.21,0.93
13110,水果類,水果類,櫻桃,生食,,,,,0.6,-,-,0.27,0.01,0.08,0.97
13012,水果類,水果類,無花果,生食,,,,,0.22,-,-,0.3,0.02,0.08,0.61
13013,水果類,水果類,無花果乾,熟食,烘焙,,,,0.62,-,0.28,0.16,0.02,-,1.08
13083,水果類,水果類,芭樂,生食,,,,,0.53,-,-,0.5,0.02,0.08,1.12
13717,水果類,水果類,鳳梨罐頭,熟食,,,,,0.21,0.23,0.17,0.23,0.02,-,0.86
13067,水果類,水果類,萊姆,生食,,,,,0.16,-,-,0.27,0.01,0.08,0.53
13071,水果類,水果類,黑桑葚,生食,,,,,0.84,-,-,0.27,0.02,0.08,1.21
